Tillage,Temperature,Moisture,Soil,Delta.SOC_T,se_Delta.SOC_T,d_Delta.SOC_T
Conventional,All,All,All,0,0.000,normal
Reduced-till,Cool,Dry,Other,0.02,0.017,normal
Reduced-till,Cool,Dry,Sandy,0.07,0.071,normal
Reduced-till,Cool,Moist,Other,0.07,0.037,normal
Reduced-till,Cool,Moist,Sandy,0.17,0.073,normal
Reduced-till,Warm,Dry,Other,0.19,0.153,normal
Reduced-till,Warm,Dry,Sandy,0.09,0.068,normal
Reduced-till,Warm,Moist,Other,0.3,0.133,normal
Reduced-till,Warm,Moist,Sandy,0.18,0.049,normal
No-till,Cool,Dry,Other,0.02,0.019,normal
No-till,Cool,Dry,Sandy,0.08,0.079,normal
No-till,Cool,Moist,Other,0.08,0.042,normal
No-till,Cool,Moist,Sandy,0.18,0.081,normal
No-till,Warm,Dry,Other,0.21,0.171,normal
No-till,Warm,Dry,Sandy,0.1,0.075,normal
No-till,Warm,Moist,Other,0.33,0.148,normal
No-till,Warm,Moist,Sandy,0.21,0.054,normal
